detonować,abash
skrót,abbreviation
aberracja,aberration
podjudzać,abet
podżegać,abet
abnegacja,abnegation
ohydny,abominable
wstrętny,abominable
ohyda,abomination
aborcja,abortion
obfitować,abound
obmacać,about
około,about
z,about
ponad,above
powyżej,above
ropień,abscess
absolutny,absolute
bezwzględność,absoluteness
rozgrzeszenie,absolution
absolutyzm,absolutism
rozgrzeszyć,absolve
absorbować,absorb
chłonąć,absorb
pochłaniać,absorb
wchłaniać,absorb
absorpcja,absorption
absorpcyjny,absorptive
abstrahować,abstract
abstrakcja,abstraction
Abisyńczyk,Abyssinian
abisyński,Abyssinian
akademicki,academic(al)
przyspieszać,accelerate
przyspieszenie,acceleration
akcelerator,Accelerator
akcentować,accent
akcentowanie,accentuation
akceptować,accept
akceptacja,acceptance
przystępność,accessibility
dodatki,accessories
przygodny,accidental
przypadkowy,accidental
przypadkowo,accidentally
okrzyknąć,acclaim
rozlokować,accommodate
towarzyszyć,accompany
wtórować,accompany
planowo,according
podług,according
przepisowo,according
zgodnie,according
stosownie,accordingly~
gromadzić,accumulate
oskarżenie,accusation
skarżyć,accuse
zaskarżyć,accuse
podsądny,accused
przyzwyczajać,accustom
przywyknąć,accustomed
acetylen,acetylene
boleć,ache
dokazać,achieve
dokonać,achieve
uznawać,acknowledge
zapoznać,acquaint
zapoznanie,acquaintance
znajomość,acquaintance
znajomy,acquaintance
nabywać,acquire
nabytek,acquisition
uiścić,acquit
poprzez,across
działać,act
postępek,act
faktyczny,actual
adaptować,adapt
adaptacja,adaptation
dodawać,add
dosypać,add
przydać,add
żmija,adder
wierzchowiec,addle-horse
adresować,address
wystosować,address
zagadnąć,address
przystawać,adhere
przytykać,adjoin
dostosować,adjust
podziw,admiration
wielbić,admire
podziwiać,admirepodzwrotnikowy
dopuszczać,admit
domieszać,admix
upominać,admonish
adoptować,adopt
uwielbienie,adoration
adorować,adore
czcić,adore
uwielbiać,adore
czciciel,adorer
przybierać,adorn
przystrajać,adorn
ukwiecić,adorn
przysłówek,adverb
niepowodzenie,adversity
"want,",adversity
awizować,advice
doradzać,advise
radzić,advise
aerodynamiczny,aerodynamic
aerodynamika,aerodynamics
aeronautyczny,aeronautic
aeronautyka,aeronautics
aerostatyczny,aerostatic
aerostatyka,aerostatics
twierdzić,affirm
twierdzący,affirmative
twierdząco,affirmatively
przyczepić,affix
zadrzewiać,afforest
zadrzewienie,afforestation
zalesienie,afforestation
według,after
poobiedni,after-dinner
posmak,aftertaste
potem,afterwards
znowu,again
przeciw,against
faktor,agent
agresja,aggression
zaczepny,aggressive
agitować,agitate
agnostycyzm,agnosticism
uzgadniać,agree
miło,agreeably
przyjemnie,agreeably
rolniczy,agricultural
rolnictwo,agriculture
agronom,agronomist
agrotechnika,agrotechnics
ach!,ah!
wspomagać,aid
zapomoga,aid
celować,aim
klimatyzacja,air
wywietrzyć,air
wentyl,air-regulator
trwożyć,alarm
zatrwożyć,alarm
olszyna,alder-forest
odstręczyć,alienate
pokarmowy,alimentary
żywnościowy,alimentary
żywcem,alive
nieledwie,all
raptem,all
samopas,all
tym~,all
wszystek,all
załagodzić,allay
rzekomo,Allegedly
łagodzić,alleviate
odciążać,alleviate
uśmierzyć,alleviate
przydzielić,allot
dozwalać,allow
nęcić,allure
niemal,almost
prawie,almost
wzdłuż,along
wzdłuż,alongside
już,already
glin,aluminium
stale,always
zespolić,amalgamate
zdumiony,amazed
novel,amendment
spomiędzy,among
wśród,among
pośród,among(st)
bawić,amuse
ubawić,amuse
zabawiać,amuse
rozrywka,amusement
come,an
przeciętnie,an
niedokrwistość,anaemia
i,and
oraz,and
powtórnie,anew
gniewać,anger
rozgniewać,anger
zwierzę,animal
dołączyć,annex
przyłączyć,annex
przyłączenie,annexation
zniweczyć,annihilate
rocznica,anniversary
adnotacja,annotation
zapowiadać,announce
zgłaszać,announce
zwiastować,announce
ogłoszenie,announcement
zapowiedź,announcement
zgłoszenie,announcement
szykanować,annoy
szykany,annoyances
kasować,annul
unieważnić,annul
unieważnienie,annulment
odpowiadać,answer
przedpotopowy,antediluvian
przeciw,anti-
przeciwlotniczy,anti-aircraft
antysemita,Anti-Semite
antysemicki,anti-Semitic
antysemityzm,anti-Semitism
przedterminowy,anticipated
antykwarski,antiquarian
antykwaryczny,antiquarian
antyseptyczny,antiseptic
niepokój,anxiety
cokolwiek,anything
gdziekolwiek,anywhere
apanaż,ap(p)anage
projekcyjny,aparat
rozstawiać,apart
apostrofa,apostrophe
apoteoza,apotheosis
widocznie,apparently
widnieć,appear
stawiennictwo,appearance
wygląd,appearance
uciszyć,appease
utulić,appease
apetyczny,appetising
oklaskiwać,applaud
przyklaskiwać,applaud
jabłoń,apple-tree
aplikować,apply
przykładać,apply
stosować,apply
zastosować,apply
mianować,appoint
nominacja,appointment
terminator,apprentice
praktykant,apprentice(probationer
dobiegać,approach
dochodzić,approach
dostąpić,approach
przywłaszczać,appropriate
przywłaszczenie,appropriation
aprobować,approve
przynależność,appurtenance
orli,aquiline
arbitralność,arbitrariness
samowola,arbitrariness
arbitraż,arbitration
arcy-,arch-
archeolog,archaeology
archaizować,archaise
arcybiskup,archbishop
archipelag,archipelago
architektura,architecture
zapał,ardour
teren,area
argumentować,argue
argumentacja,argumentation
aria,aria
arystokracja,aristocracy
arystokrata,aristocrat
arystokratyczny,aristocratic
arytmetyka,arithmetic
arytmetyczny,arithmetical
arytmometr,arithometer
uzbrajać,arm
zbroić,arm
opancerzyć,armour
aromatyczny,aromatic
układać,arrange
ułożyć,arrange
urządzać,arrange
urządzenie,arrangement
aresztować,arrest
przyjście,arrival
dojechać,arrive
dojść,arrive
towar,article
artykulacja,articulation
sztuczny,artificial
rzemieślnik,artisan
dopóki,as
niby,as
ponieważ,as
skoro,as
tyle,as
ascetyczny,ascetic(al)
ascetyzm,asceticism
popielec,Ash-Wednesday
popielaty,ashen
odchylać,aside
zapytać,ask
zapytywać,ask
żebrać,ask
zaczadzieć,asphyxiated
aspiracja,aspiration
przydech,aspiration
aspirować,aspire
osioł,ass
skupiać,assemble
asygnować,assign
przypisywać,assign
przyswajać,assimilate
asymilacja,assimilation
asymilacyjny,assimilative
asystować,assist
asocjacja,association
kojarzenie,association
stowarzyszenie,association
asortyment,assortment
zapewnić,assure
dziwić,astonish
zadziwiać,astonish
zdziwić,astonish
zdumienie,astonishment
zdziwienie,astonishment
okrakiem,astraddle
karakuły,astrakhan
astrologiczny,astrological
astronautyka,astronautics
astronom,astronomer
astrofizyka,astrophysics
rozrąbać,asunder
niesymetryczny,asymmetrical
bynajmniej,at
choćby,at
kiedyś,at
krzyczećczas.,at
opodal,at
początkowo,at
podówczas,at
przynajmniej,at
u,at
w,at
wówczas,at
wreszcie,at
współcześnie,at
zaraz,at
zarazem,at
zrazu,at
bezbożny,atheistic
atmosfera,atmosphere
atrofia,atrophy
doczepiać,attach
uwiązać,attach
przywiązanie,attachment
atakować,attack
szturmować,attack
poświadczać,attest
świadczyć,attest
stroić,attire
strój,attire
wystroić,attire
atrakcja,attraction
przyciąganie,attraction8gravitation
atrakcyjny,attractive
pociągający,attractive
potęgować,augment
przysparzać,augment
podwyżka,augmentation
wróżyć,augur
żubr,aurochs
zorza,aurora
Australijczyk,Australian
australijski,Australian
autentyczność,authenticity
autoryzacja,authorisation
upoważnienie,authorisation
autoryzować,authorise
upełnomocnić,authorise
autorytatywny,authoritative
autorstwo,authorship
autobiografia,autobiography
autochtoniczny,autochthonous
samorodny,autogenous
odręczny,"autographic""off-hand"
automatyzacja,automation
awitaminoza,avitaminosis
wyznawać,avow
rozbudzić,awaken
przyznać,award
precz,away
rozwiewać,away
zbiec,away
zbiegać,away
niezręczność,awkwardness
krzywo,awry
wypaplać,babble
awionetka,babyplane
kawalerski,bachelor'sstan
odwracać,back
tył,back
tło,background
zaułek,backstreet
wsteczność,backwardness
zacofanie,backwardness
wstecz,backwards
bakteriobójczy,bactericidal
bakteriologia,bacteriology
nieczyste,bad
niepogoda,bad
not,bad
źle,badly
szczuć,bait
równoważyć,balance
zrównoważyć,balance
łysek,baldpate
bal,ball
baletmistrz,ballet-master
balotować,ballot
balotowanie,ballot(ing)
balować,balls
balsam,balsam
wiązadło,band
bandażować,bandage
kapelmistrz,bandmaster
poręcz,banister
upadłość,bankruptcy
bankructwo,bankruptcy-ogłosić
chrzcić,baptize
bariera,bar
zastawić,bar
barkarola,barcarole
obnażać,bare
ogołocić,bare
pyskować,bark
szczekać,bark
beczkować,barrel
barykadować,barricade
bazować,base
wstydliwy,bashful
koszykarz,basket-maker
koszykówka,basketball
bestialstwo,bastiality
kąpać,bathe
wanienka,bathing-tub
ubić,batter
taran,battering-ram
ujadać,bay
wykusz,bay
zatoka,bay
dębieć,be
dogorywać,be
łaknąć,be
"mean,",be
milczeć,be
niedomagać,be
niedowidzieć,be
pobłażać,be
pochodzić,be
podlegać,be
poprzestać,be
powić,be
przemoknąć,be
sprostać,be
ubolewać,be
urzędować,be
wariować,be
wystarczyć,be
zachłysnąć,be
zalegać,be
zawdzięczać,be
zawinić,be
zdołać,be
zginąć,be
zmarznąć,be
dziób,beak
puchar,beaker
nieść,bear
parlamentariusz,bearer of a white flag
bydlę,beast
klepać,beat
obijać,beat
odbijać,beat
odbicie,beating
piękny,beautiful
pięknie,beautifully
uroda,beauty
bo,because
chudnąć,become
czerstwieć,become
dziczeć,become
dziecinnieć,become
dziwaczeć,become
jełczeć,become
kruszeć,become
łagodnieć,become
łysieć,become
mierznąć,become
milknąć,become
obmierznąć,become
ogłuchnąć,become
ogłupieć,become
oprzytomnieć,become
osłupieć,become
poczerwienieć,become
poznać,become
rogowacieć,become
rozmoknąć,become
rzednąć,become
słabnąć,become
spowszednieć,become
szarzeć,become
szczupleć,become
tanieć,become
umiłować,become
wynędznieć,become
wytrzeźwieć,become
zamilknąć,become
zapanować,become
zapragnąć,become
zasłynąć,become
zbrzydnąć,become
zdziczeć,become
zechcieć,become
ziębnąć,become
zmądrzeć,become
zniedołężnieć,become
zziębnąć,become
pszczelarz,bee-keeper
pszczelarstwo,bee-keeping
piwiarnia,beer-house
burak,beet
przed,before
przedtem,before
sprzed,before
zanim,before
przedobiedni,before-dinner
prosić,beg
urodzić,beget
począć,begin
poczynać,begin
wszcząć,begin
zaboleć,begin
zaczynać,begin
zajaśnieć,begin
zatęsknić,begin
precz,begone!
zachowanie,behaviour
oblegać,beleaguer
uwierzyć,believe
wierzyć,believe
pomniejszać,belittle
beletrysta,belletrist
przynależeć,belong
przynależności,belongings
umiłowany,beloved
pas,belt
pasek,belt
giąć,bend
krzywić,bend
pochylić,bend
przeginać,bend
schylać,bend
uginać,bend
wyginać,bend
zagiąć,bend
zgięcie,bend
zginać,bend
dobroczyńca,benefactor
dobrodziej,benefactor
zamroczyć,benumb
wyzuć,bereave
zresztą,besides
osmarować,besmear
opluć,bespit
skrapiać,besprinkle
zbryzgać,besprinkle
uwłaszczać,bestow
zdradzać,betray
ulepszać,better
między,between
urzec,bewitch
poza,beyond
bądź,bezosobowa
bibliograf,bibliographer
bibliografia,bibliography
bibliofil,bibliophile
kazać,bid
wzywać,bid
żegnać,bid
biec,biegać
koń,biegunach
krzesło,biegunach
płatniczy,bilans
bałwan,billow
skłonność,Binclination
oprawiać,bind
przywiązywać,bind
wiązać,bind
biochemia,biochemistry
biograf,biographer
biologiczny,biologic(al)
ptasi,bird
metryka,birth
kawałek,bit
kąsek,bit
kęs,bit
kąsać,bite
odgryzać,bite
przegryzać,bite
rozgryźć,bite
ugryźć,bite
ukąsić,bite
wygryzać,bite
goryczka,bitter
gorzknieć,bitter
gorycz,bitterness
biwakować,bivouac
rozpaplać,blab
wygadać,blab
czernina,black
czarnooki,black-eyed
poczernić,black(en)
czernić,blacken
poczernieć,blacken
szantażować,blackmail
szantażysta,blackmailer
tarnina,blackthorn
pęcherz,bladder
blaga,blague
ganić,blame
czek,blanco
koc,blanket
bluźnić,blaspheme
bluźnierca,blasphemer
rozgłaszać,blaze
roztrąbić,blaze
beczeć,bleat
skaza,blemish
błogosławić,bless
ślepo,blindly
błogostan,blissfulness
tarasować,block
zatarasować,block
blokować,blockade
krwiodawca,blood-donor
krwiożerczy,bloodthirsty
rozkwitać,blossom
zakwitnąć,blossom
bibularz,blotting-pad
powiewać,blow
rozdmuchiwać,blow
rozdymać,blow
uderzenie,blow
wiać,blow
zdmuchnąć,blow
blefować,bluff
przytępić,blunt
stępić,blunt
rumieniec,blush
cembrować,board
deska,board
intendentura,board
stołować,board
szalować,board
samochwalstwo,boastfulness
ciało,body
kulturysta,body-builder
kulturystyka,body-building
gotować,boil
kipieć,boil
wrzeć,boil
wykipieć,boil
zagotować,boil
zwarzyć,boil
kotłownia,boiler-room
ukrop,boiling
wrzątek,boiling
bolszewizm,Bolshevism
ryglować,bolt
zmykać,bolt
bombardować,bombard
bombardowanie,bombardment
wiązanie,bond
księgować,book
księgowy,book-keeper
księgowość,book-keeping
regał,book-shelf
introligator,bookbinder
introligatorstwo,bookbinding
księgarz,bookseller
grubiański,boorish
prostacki,boorish
but,boot
łup,booty
graniczyć,border
graniczny,border(ing)
pogranicze,borderland
nudzić,bore
wiercić,bore
znudzić,bore
klecić,botch
partactwo,botching
obaj,both
oboje,both
butelkować,bottle
pupa,bottom
burżuazja,bourgeoisie
nachylać,bow
pokłon,bow
wnętrzności,bowles
kręgielnia,bowling
boksować,box
kufer,box
bojkotować,boycott
wszechmogący,Bóg
szelki,braces
splot,braid
warkocz,braid
hamować,brake
agenda,branch
wyłom,breach
wyrwa,breach
żywiciel,bread-winner
odłamać,break
przełamać,break
rozłamać,break
ujeżdżać,break
ułamać,break
wyłamać,break
wywalić,break
załamać,break
złamać,break
łamać,break4~
oddychać,breathe
tchnąć,breathe
wydychać,breathe
zadyszany,breathless
zdyszany,breathless
hodować,breed
wykarmić,breed
druhna,bridesmaid
kiełznać,bridle
okiełznać,bridle
teczka,brief-case
teka,brief-case
rozpromienić,brighten
błyskotliwość,brightness
światłość,brightness
błyszczący,brilliant
rondo,brim
cucić,bring
dowieść,bring
kontaktować,bring
odnieść,bring
poniżyć,bring
przewozić,bring
przybliżać,bring
przynosić,bring
przyprowadzać,bring
przywozić,bring
spowodować,bring
sprowadzać,bring
udoskonalić,bring
uwydatnić,bring
uwypuklić,bring
wnieść,bring
wychowywać,bring
wydobywać,bring
wydostać,bring
wynurzać,bring
zbliżać,bring
zwozić,bring
dziarski,brisk
rześki,brisk
skoczny,brisk
wszerz,broadwise
oskrzela,bronchi
szperać,browse.~
pędzlować,brush
szczotkować,brush
chaszcze,brushwood
spinać,buckle
sprzączka,buckle
pączkować,bud
kabotyński,buffoonish
dobudować,build
toreador,bullfighter
rosół,bullion
trzmiel,bumble-bee
guz,bump
kiść,bunch
pęczek,bunch
knocić,bungle
partaczyć,bungle
obarczyć,burden
obciążać,burden
gorzeć,burn
płonąć,burn
prażyć,burn
przepalić,burn
spalać,burn
sparzyć,burn
wypalać,burn
nora,burrow
pękać,burst
rozpłakać,burst
uniesienie,burst
pochować,bury
zakopać,bury
krzak,bush
biznesmen,businessman
zapinać,button
butonierka,buttonhole
rozkupić,buy
skupować,buy
koło,by
listownie,by
prawnie,by
przegłosować,by
przy,by
przypadkiem,by
uprosić,by
ustnie,by
wpół,by
bakier,być
Białorusin,Byelorussian
białoruski,Byelorussian
kuplet,cabaret
cherlak,cachectic
gdakać,cackle
trupi,cadaverous
zwapnienie,calcification
obrachować,calculate
kalkulator,calculator
cielęcy,calf
kalkować,calk
odwiedziny,call
powoływać,call
przezywać,call
przywoływać,call
przyzywać,call
wizyta,call
wołać,call
wywoływać,call
wyzywać,call
zawezwać,call
zawitać,call
zawołać,call
zawołanie,call
zwać,call
zwoływać,call
kaligraficzny,calligraphic
kaligrafia,calligraphy
cichnąć,calm
kamuflaż,camouflage
anulować,cancel
skreślić,cancel
kandydatura,candidature
świecznik,candlestick
działo,cannon
kajak,canoe
kanoniczny,canonic(al)
kanonizacja,canonisation
kanonizować,canonise
kauczuk,caoutchouc
zawartość,capacity
głuszec,capercaillie
włoskowatość,capillarity
kapitalista,capitalist
kapitalistyczny,capitalist
kapitalizm,capitalistic
kapitulować,capitulate
kalka,carbon-paper
węglan,carbonate
gaźnik,carburettor
karburator,carburettor
gręplować,card
kartoteka,card-index
sercowy,cardiac
kardiogram,cardiogram
kardiografia,cardiography
dbać,care
staranie,care
troska,care
staranność,carefulness
pieścić,caress
mięsożerny,carnivorous
kolędować,carol
hulać,carouse
dywan,carpet
dźwigać,carry
nosić,carry
ponosić,carry
przeprawiać,carry
uprowadzić,carry
wieźć,carry
wozić,carry
wynosić,carry
wywozić,carry
zanieść,carry
zawozić,carry
znosić,carry
odniesienie,carrying
roznosić,carryspread
kartografia,cartography
katurzysta,cartoonist
rzeźbić,carve
kaskada,cascade
wypadek,case
kasyno,casino
beczka,cask
kasacja,cassation
radiomagnetofon,cassette
kastowość,caste
kastrować,castrate
katalogować,catalogue
katastrofalny,catastrophic
dogonić,catch
doścignąć,catch
podchwycić,catch
zobaczyć,catch
kategoryczny,categorical
kalafior,cauliflower
powodować,cause
przyczyna,cause
zrządzić,cause
jaskinia,cave
przestaćczas.,cease
ustawać,cease
ustępować,cede
celebrować,celebrate
celebracja,celebration
celofan,cellophane
cmentarz,cemetery
cenzurować,censor
cenzura,censorship
cenzus,census
odśrodkowy,centrifugal
dośrodkowy,centripetal
ceremoniał,ceremonial
zaświadczyć,certify
przykuwać,chain
wyzywać,challenge
nocnik,chamber-pot
szambelan,chamberlain
kanclerz,chancellor
kandelabr,chandelier
żyrandol,chandelier
odmieniać,change
wymieniać,change
zamienić,change
zmiana,change
zmieniać,change
charakteryzować,characterise-make
zwęglić,charcarbonise
ładować,charge
obładowywać,charge
szarżować,charge
załadować,charge
zlecać,charge
czar,charm
czarować,charm
urok,charm
zachwycać,charm
gonić,chase
czeluść,chasm
gawędzić,chat
gwarzyć,chat
pogawędka,chat
cyganić,cheat
okpić,cheat
szachrować,cheat
szachować,check
policzek,cheek
wiwatować,cheer
rachunek,cheque
wiśniak,cherry-brandy
szachownica,chess-board
szachista,chessplayer
skrzynia,chest
przeżuwać,chew
żuć,chew
łajać,chide
dziecinada,childishness
chimeryczny,chimerical
kominiarz,chimney-sweep
świergotać,chirp
szczebiotać,chirrup
cyzelować,chisel
rycerski,chivalrous
chloroform,chloroform
pańszczyźniany,chłop
cholera,cholera
wybierać,choose
odrąbać,chop
siekać,chop